YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,92.8,5.8,-0.8,2.5,55.59
2009,1,74.1,7.1,0.8,3.8,59.46
2009,2,43.9,11.7,2.1,6.9,171.0
2009,3,43.5,14.6,5.2,9.9,172.46
2009,4,33.7,17.2,7.1,12.2,211.46
2009,5,29.2,20.7,9.8,15.2,201.8
2009,6,82.1,20.4,11.8,16.1,158.48
2009,7,39.1,21.0,12.1,16.6,178.33
2009,8,29.4,18.9,10.0,14.4,161.92
2009,9,72.1,15.4,8.1,11.7,99.72
2009,10,214.4,11.5,6.3,8.9,66.99
2009,11,120.2,6.2,-0.2,3.0,62.87
2010,0,69.5,3.8,-2.0,0.9,58.76
2010,1,80.3,6.2,0.6,3.4,58.97
2010,2,72.3,10.1,1.9,6.0,131.52
2010,3,24.9,14.6,3.3,9.0,221.06
2010,4,23.8,16.4,5.7,11.1,175.03
2010,5,26.4,21.6,9.5,15.6,248.84
2010,6,36.7,22.4,12.5,17.5,179.21
2010,7,86.8,20.2,11.2,15.7,128.64
2010,8,65.3,18.3,9.4,13.9,133.98
2010,9,67.3,14.4,6.7,10.5,129.39
2010,10,81.6,8.4,2.7,5.6,59.68
2010,11,34.6,2.8,-3.1,-0.1,25.71
2011,0,101.6,6.5,1.5,4.0,53.26
2011,1,60.0,9.4,3.4,6.4,42.07
2011,2,20.6,11.7,2.3,7.0,137.19
2011,3,3.4,18.3,6.3,12.3,220.45
2011,4,41.1,17.1,7.4,12.2,205.42
2011,5,86.1,18.7,9.2,14.0,185.79
2011,6,48.3,20.2,10.4,15.3,167.66
2011,7,125.8,20.0,11.4,15.7,162.1
2011,8,63.0,19.5,11.1,15.3,142.03
2011,9,36.3,16.5,8.7,12.6,127.85
2011,10,50.2,12.9,6.8,9.9,57.45
2011,11,88.8,9.2,2.8,6.0,52.59
2012,0,47.7,8.9,2.5,5.7,68.09
2012,1,17.8,7.1,0.2,3.6,76.58
2012,2,27.4,13.7,3.0,8.4,181.13
2012,3,151.7,11.9,3.0,7.5,155.98
2012,4,37.1,17.1,7.6,12.3,192.95
2012,5,160.8,17.5,10.2,13.9,132.8
2012,6,116.4,19.7,11.2,15.5,174.88
2012,7,59.4,21.2,12.5,16.8,180.76
2012,8,63.1,18.2,8.4,13.3,173.35
2012,9,139.2,13.2,6.8,10.0,78.87
2012,10,117.5,9.9,3.4,6.7,76.27
2012,11,138.5,8.7,1.9,5.3,68.44
2013,0,101.1,6.1,1.6,3.9,45.51
2013,1,39.9,5.9,0.0,3.0,71.74
2013,2,82.2,6.4,0.1,3.3,69.21
2013,3,39.2,11.7,3.1,7.4,161.52
2013,4,56.1,15.1,5.6,10.3,194.82
2013,5,31.8,18.8,9.4,14.1,190.96
2013,6,24.3,25.0,12.4,18.7,302.99
2013,7,32.5,22.3,12.0,17.1,199.73
2013,8,48.1,18.9,9.5,14.2,120.5
2013,9,134.7,15.9,9.4,12.6,96.19
2013,10,64.5,9.6,3.1,6.3,84.56
2013,11,191.5,9.6,2.3,5.9,53.95
2014,0,232.7,9.1,2.4,5.7,62.6
2014,1,174.6,9.3,3.1,6.2,95.56
2014,2,53.8,12.4,2.9,7.7,148.66
2014,3,106.3,14.4,5.7,10.0,157.53
2014,4,93.0,16.6,7.8,12.2,189.82
2014,5,39.4,20.8,10.6,15.7,239.84
2014,6,38.2,23.9,12.5,18.2,277.13
2014,7,104.5,20.0,10.5,15.3,189.85
2014,8,11.2,20.7,10.8,15.7,137.55
2014,9,117.2,16.0,9.6,12.8,95.39
2014,10,149.7,11.5,5.5,8.5,61.21
2014,11,58.0,8.4,1.7,5.0,77.69
2015,0,103.7,8.4,1.1,4.8,74.85
2015,1,60.3,7.1,0.3,3.7,77.89
2015,2,20.5,10.6,3.0,6.8,132.5
2015,3,19.0,15.4,4.0,9.7,225.34
2015,4,62.9,15.8,6.9,11.4,180.97
2015,5,30.6,20.1,9.3,14.7,238.98
2015,6,58.8,21.3,11.3,16.3,187.11
2015,7,124.6,20.2,11.7,16.0,130.75
2015,8,58.3,17.8,8.3,13.1,190.13
2015,9,66.6,14.7,7.4,11.1,90.0
2015,10,67.3,12.4,7.0,9.7,29.24
2015,11,94.4,12.7,8.0,10.4,34.74
2016,0,140.8,8.9,1.9,5.4,61.6
2016,1,75.1,8.4,1.8,5.1,96.0
2016,2,102.4,10.0,1.5,5.7,135.9
2016,3,63.3,12.4,3.2,7.8,176.9
2016,4,84.1,17.7,7.9,12.8,216.8
2016,5,75.0,19.3,11.2,15.3,117.6
2016,6,17.3,22.0,12.0,17.0,203.2
2016,7,45.1,22.6,12.4,17.5,218.5
2016,8,47.5,20.3,12.0,16.1,125.9
2016,9,42.1,14.7,6.9,10.8,127.1
2016,10,100.3,9.7,2.5,6.1,87.7
2016,11,17.3,9.5,2.2,5.8,63.4
2017,0,94.9,7.2,0.1,3.6,78.8
2017,1,65.99,8.9,3.4,6.2,54.03
2017,2,67.64,12.8,5.1,8.9,119.74
2017,3,16.29,14.5,3.7,9.1,205.17
2017,4,62.65,18.1,8.6,13.3,197.07
2017,5,98.57,21.4,11.4,16.4,222.01
2017,6,120.72,21.9,12.7,17.3,200.06
2017,7,79.26,20.6,11.5,16.0,189.77
2017,8,81.93,17.6,9.8,13.7,128.16
2017,9,33.74,15.7,9.1,12.4,91.09
2017,10,73.23,10.6,3.0,6.8,92.35
2017,11,110.17,8.4,1.9,5.1,54.7
